Main Author,Nombre total de citations,Volume,Date de publication,Auteurs,Revue,Pages,Numéro
Khadija EL KHARKI,,Abdellah Idrissi Jouicha,9,2021/1/13,Iraqi Journal of Science,"Abdellah Jouicha Idrissi, Khalid Berrada, Rachid Bendaoud, Khadija El Kharki, Said Machwate, Abdellatif Miraoui",7-16
Khadija EL KHARKI,,,9,2019/12/13,,"Imane Zaatri, Khadija EL Kharki, Rachid Bendaoud, Khalid Berrada",1-4
Khadija EL KHARKI,1,,8,2018/12,International Journal of Applied Research and Technology,"Khadija El Kharki, Faouzi Bensamka, Khalid Berrada, Khalil El Hajjaji, Mohammed L'Bachir El Kbiach, Loubna Bounab",1-8
Khadija EL KHARKI,,,4,2021/8/3,,"Khadija El Kharki, Khalid Berrada, Faouzi Bensamka, Daniel Burgos",233-249
Khadija EL KHARKI,,,3,2022/9/4,,"Sara Ouahib, Khadija El Kharki, Rachid Bendaoud, Daniel Burgos, Khalid Berrada",31-48
Khadija EL KHARKI,,,2,2022/1/1,,"Khalid Berrada, Khadija El Kharki, Hana Ait Si Ahmad",93-112
Khadija EL KHARKI,,,,2022/9/4,,"Soumia Merrou, Khalid Berrada, Khadija El Kharki, Moulay El Mehdi Bouhamidi, Daniel Burgos",173-188
Khadija EL KHARKI,,,,2022/9/4,,"Khalid Berrada, Khadija El Kharki, Daniel Burgos",1-7
Khadija EL KHARKI,,,,2022/9/4,,"Hana Ait Si Ahmad, Khadija El Kharki, Daniel Burgos, Khalid Berrada",63-74
Khadija EL KHARKI,,,,2020/9/17,,"Hana Ait Si Ahmad, Khadija El Kharki, Khalid Berrada",106-109
Nathalie Deschryver,4,4,555,2006,Distances et savoirs,"Bernadette Charlier, Nathalie Deschryver, Daniel Peraya",469-496
Nathalie Deschryver,9,1,188,2011/1,Distances et savoirs,"Réginald Burton, Stéphanie Borruat, Bernadette Charlier, Nicolas Coltice, Nathalie Deschryver, Françoise Docq, Jérôme Eneau, Ghislaine Gueudet, Geneviève Lameul, Marcel Lebrun, Armand Lietart, Marc Nagels, Daniel Peraya, Annick Rossier, Ellen Renneboog, Emmanuelle Villiot-Leclercq",69-96
Nathalie Deschryver,301,,137,2014/5,Education et formation,"Daniel Peraya, Bernadette Charlier, Nathalie Deschryver",15-34
Nathalie Deschryver,28,2,119,2002,Revue des sciences de l'éducation,"Bernadette Charlier, Amaury Daele, Nathalie Deschryver",345-365
Nathalie Deschryver,,,66,1999,,"Bernadette Charlier, Françoise Docq, Marcel Lebrun, Simon Lusalusa, Robert Peeters, Nathalie Deschryver",
Nathalie Deschryver,,,57,2012,,"Nathalie Deschryver, Bernadette Charlier, S Borruat, Réginald Burton, M Ciussi, F Docq, Giovanna Mancuso",
Nathalie Deschryver,,,55,2014/5,"Les dispositifs hybrides dans l’enseignement supérieur: questions théoriques, méthodologiques et pratiques","Nathalie Deschryver, Marcel Lebrun",75
Nathalie Deschryver,,,47,2008/9/8,,Nathalie Deschryver,
Nathalie Deschryver,,,42,2002,"TIC et formation des enseignants. Bruxelles, De Boëck","Bernadette Charlier, N Deschryver, A Daele",
Nathalie Deschryver,,,39,2003,,Nathalie Deschryver,
Nathalie Deschryver,31,,36,2012,Consortium Hy-Sup. Retrieved January,"Nathalie Deschryver, B Charlier",2016
Nathalie Deschryver,,,34,2011/1/12,,"Nathalie Deschryver, Geneviève Lameul, Daniel Peraya, Emmanuelle Villiot Leclercq",https://archive-ouverte. unige. ch/unige: 21668
Nathalie Deschryver,,,24,2005/9,Réseau Education Formation (REF),"Bernadette Charlier, Nathalie Deschryver, Daniel Peraya",15-16
Nathalie Deschryver,32,32 (3),21,2016/12/20,Revue internationale de pédagogie de l’enseignement supérieur,"Nathalie Deschryver, Geneviève Lameul",
Nathalie Deschryver,,,20,2004/4,"21e Congrès de l’AIPU, Association Internationale de Pédagogie Universitaire","Bernadette Charlier, Nathalie Deschryver, Daniel Peraya",
Nathalie Deschryver,301,,18,2014/5,"Éducation et Formation, e","Nathalie Deschryver, B Charlier",
Nathalie Deschryver,,,18,2010,Apprendre avec les technologies,Nathalie Deschryver,181-192
Nathalie Deschryver,,,17,2012,Nouvelles perspectives pour une pédagogie renouvelée de,"N Deschryver, B Charlier",
Nathalie Deschryver,4,4,17,2006/4,Distances et savoirs,"Charlier Bernadette, Deschryver Nathalie, Peraya Daniel",469-496
Nathalie Deschryver,,,17,2000/6,Rapport final Projet Communauté française,"Nathalie Deschryver, B Charlier",
Khadija EL KHARKI,13,7,56,2021/3/26,Sustainability,"Khadija El Kharki, Khalid Berrada, Daniel Burgos",3711
Khadija EL KHARKI,,,21,2020/5/23,,"Khadija El Kharki, Faouzi Bensamka, Khalid Berrada",131-146
Khadija EL KHARKI,1344,,18,2020,Bridges and Mediation in Higher Distance Education,"Hana Ait Si Ahmad, Khadija El Kharki, Khalid Berrada",199-213
Khadija EL KHARKI,,,10,2020/12/22,,"Khalid Berrada, Hana Ait Si Ahmad, Sofia Margoum, Khadija EL Kharki, Said Machwate, Rachid Bendaoud, Daniel Burgos",191-205
Khadija EL KHARKI,,Abdellah Idrissi Jouicha,9,2021/1/13,Iraqi Journal of Science,"Abdellah Jouicha Idrissi, Khalid Berrada, Rachid Bendaoud, Khadija El Kharki, Said Machwate, Abdellatif Miraoui",7-16
Khadija EL KHARKI,,,9,2019/12/13,,"Imane Zaatri, Khadija EL Kharki, Rachid Bendaoud, Khalid Berrada",1-4
Khadija EL KHARKI,1,,8,2018/12,International Journal of Applied Research and Technology,"Khadija El Kharki, Faouzi Bensamka, Khalid Berrada, Khalil El Hajjaji, Mohammed L'Bachir El Kbiach, Loubna Bounab",1-8
Khadija EL KHARKI,,,4,2021/8/3,,"Khadija El Kharki, Khalid Berrada, Faouzi Bensamka, Daniel Burgos",233-249
Khadija EL KHARKI,,,3,2022/9/4,,"Sara Ouahib, Khadija El Kharki, Rachid Bendaoud, Daniel Burgos, Khalid Berrada",31-48
Khadija EL KHARKI,,,2,2022/1/1,,"Khalid Berrada, Khadija El Kharki, Hana Ait Si Ahmad",93-112
Khadija EL KHARKI,,,,2022/9/4,,"Soumia Merrou, Khalid Berrada, Khadija El Kharki, Moulay El Mehdi Bouhamidi, Daniel Burgos",173-188
Khadija EL KHARKI,,,,2022/9/4,,"Khalid Berrada, Khadija El Kharki, Daniel Burgos",1-7
Khadija EL KHARKI,,,,2022/9/4,,"Hana Ait Si Ahmad, Khadija El Kharki, Daniel Burgos, Khalid Berrada",63-74
Khadija EL KHARKI,,,,2020/9/17,,"Hana Ait Si Ahmad, Khadija El Kharki, Khalid Berrada",106-109
Noureddine Samlak,1,1,5,2020/6/21,Revue Linguistique et Référentiels Interculturels,Noureddine SAMLAK,32-51
Noureddine Samlak,,,2,2021,,"Fatima Ez-Zahra Benkhallouq, Noureddine Samlak",
Noureddine Samlak,,,2,2017,,Noureddine Samlak,
Noureddine Samlak,2,2,1,2021/11/9,Revue Linguistique et Référentiels Interculturels,Noureddine SAMLAK,204-218
Noureddine Samlak,,,1,2020/7/12,,"Fz Benkhallouq, N Samlak, O El Aref, F El Wahidi, Fz Iflahen, S Oussikoum, H Kertaoui, M Jaafari, F Oukhadjou, F Sallami",
Noureddine Samlak,4,2,1,2018,"Langues, cultures et sociétés",Noureddine Samlak,97-108
Noureddine Samlak,4,1,,2023/6/8,Revue Linguistique et Référentiels Interculturels,Noureddine SAMLAK,95-112
Noureddine Samlak,3,1,,2022/10/16,Revue Linguistique et Référentiels Interculturels,"My Abdelaziz SABTI, Noureddine SAMLAK, Fatima Ez-Zahra BENKHALLOUQ, EL Ouidiane",1-2
Noureddine Samlak,2,1,,2021/8/3,Revue Linguistique et Référentiels Interculturels,"Noureddine SAMLAK, Moulay Abdelaziz SABTI",01-01
Noureddine Samlak,2,1,,2021/8/3,Revue Linguistique et Référentiels Interculturels,Noureddine SAMLAK,183-194
Noureddine Samlak,,,,2021,Dispositifs d'enseignement-apprentissage en période de Covid-19,"Noureddine Samlak, Fatima Ez-Zahra Benkhallouq",1-198
Noureddine Samlak,1,2,,2020/12/25,Revue Linguistique et Référentiels Interculturels,"Fatima Ez-Zahra BENKHALLOUQ, Noureddine SAMLAK, Wahiba MOUBCHIR",50-59
Noureddine Samlak,1,2,,2020/12/25,Revue Linguistique et Référentiels Interculturels,"Noureddine SAMLAK, Fatima Ez-zahra BENKHALLOUQ",03-20
Noureddine Samlak,,,,2020/1/20,"La terminologie et l'enseignement du français de spécialité, du français langue professionnelle ou sur objectifs spécifiques",Noureddine SAMLAK,13
Noureddine Samlak,3,1,,2019/7/1,Revue algérienne des lettres,Noureddine SAMLAK,81-93
Noureddine Samlak,4,1e,,2019,Revue algérienne des lettres,SAMLAK Noureddine,
Noureddine Samlak,,,,2018,,Noureddine Samlak,
Noureddine Samlak,2,2,,2018,Revue de Philologie et de communication interculturelle,Noureddine Samlak,pp 131-142
Noureddine Samlak,,,,2018,Quartiers et Rues de la ville de Marrakech : Etudes et recherches,Noureddine Samlak,pp 281-293
Noureddine Samlak,37,1,,2018,"Annals of the University of Craiova, Series Psychology, Pedagogy",Noureddine Samlak,151-164
Daniel Burgos,24,6,793,2008/9/17,Computers in Human Behavior,"Pablo Moreno-Ger, Daniel Burgos, Iván Martínez-Ortiz, José Luis Sierra, Baltasar Fernández-Manjón",2530-2540
Daniel Burgos,7,,435,2020/12,Smart Learning Environments,"Ronghuai Huang, Ahmed Tlili, Ting-Wen Chang, Xiangling Zhang, Fabio Nascimbeni, Daniel Burgos",1-15
Daniel Burgos,20,11,341,2020/6/9,,"Lina María Castro Benavides, Johnny Alexander Tamayo Arias, Martin Dario Arango Serna, John William Branch Bedoya, Daniel Burgos",3291
Daniel Burgos,9,1,265,2022/12,,"Ahmed Tlili, Ronghuai Huang, Boulus Shehata, Dejian Liu, Jialu Zhao, Ahmed Hosny Saleh Metwally, Huanhuan Wang, Mouna Denden, Aras Bozkurt, Lik-Hang Lee, Dogus Beyoglu, Fahriye Altinay, Ramesh C Sharma, Zehra Altinay, Zhisheng Li, Jiahao Liu, Faizan Ahmad, Ying Hu, Soheil Salha, Mourad Abed, Daniel Burgos",1-31
Daniel Burgos,58,4,212,2012/5/1,Computers & Education,"Vicente-Arturo Romero-Zaldivar, Abelardo Pardo, Daniel Burgos, Carlos Delgado Kloos",1058-1067
Daniel Burgos,2005,1,189,2005/9/8,Journal of Interactive Media in Education,"Anders Berggren, Daniel Burgos, Josep Fontana, Don Hinkelman, Vu Hung, Anthony Hursh, Ger Tielemans",
Daniel Burgos,8,,163,2020/7/16,IEEE access,"Kshira Sagar Sahoo, Bata Krishna Tripathy, Kshirasagar Naik, Somula Ramasubbareddy, Balamurugan Balusamy, Manju Khari, Daniel Burgos",132502-132513
Daniel Burgos,40,5,161,2009/10,,"Pablo Moreno-Ger, Daniel Burgos, Javier Torrente",669-687
Daniel Burgos,23,6,153,2007/11/1,Computers in Human Behavior,"Daniel Burgos, Colin Tattersall, Rob Koper",2656-2667
Daniel Burgos,,,150,2020/1/5,Beijing: Smart Learning Institute of Beijing Normal University,"Ronghuai Huang, D Liu, A Tlili, S Knyazeva, TW Chang, X Zhang, D Burgos, M Jemni, M Zhang, R Zhuang, C Holotescu",
Daniel Burgos,15,2,147,2007/8/1,Interactive Learning Environments,"Daniel Burgos, Colin Tattersall, Rob Koper",161-170
Daniel Burgos,11,4,133,2019,,"Christian M Stracke, Stephen Downes, Grainne Conole, Daniel Burgos, Fabio Nascimbeni",331-341
Daniel Burgos,17,6,113,2016/12,International Review of Research in Open and Distributed Learning,"Fabio Nascimbeni, Daniel Burgos",1-17
Daniel Burgos,,,112,2006/4/3,,"Daniel Burgos, Colin Tattersall, Rob Koper",
Daniel Burgos,21,5,102,2005/10,Journal of computer assisted learning,"Hans GK Hummel, Daniel Burgos, Colin Tattersall, Francis Brouns, Hub Kurvers, Rob Koper",355-365
Daniel Burgos,7,,95,2020/12,,"Xiangling Zhang, Ahmed Tlili, Fabio Nascimbeni, Daniel Burgos, Ronghuai Huang, Ting-Wen Chang, Mohamed Jemni, Mohamed Koutheair Khribi",1-19
Daniel Burgos,,,92,2021/10/1,,"Muhammad Azeem Ashraf, Meijia Yang, Yufeng Zhang, Mouna Denden, Ahmed Tlili, Jiayi Liu, Ronghuai Huang, Daniel Burgos",1525-1541
Daniel Burgos,,,78,2005/4/14,,"Rob Koper, Daniel Burgos",
Daniel Burgos,11,18,73,2019/9/6,,"Ahmed Tlili, Ronghuai Huang, Ting-Wen Chang, Fabio Nascimbeni, Daniel Burgos",4867
Daniel Burgos,11,20,69,2019/10/13,Sustainability,"Fabio Nascimbeni, Daniel Burgos",5637
Zouhair Benkhaldoun,542,7642,1536,2017/2/23,Nature,"Michaël Gillon, Amaury HMJ Triaud, Brice-Olivier Demory, Emmanuël Jehin, Eric Agol, Katherine M Deck, Susan M Lederer, Julien De Wit, Artem Burdanov, James G Ingalls, Emeline Bolmont, Jeremy Leconte, Sean N Raymond, Franck Selsis, Martin Turbet, Khalid Barkaoui, Adam Burgasser, Matthew R Burleigh, Sean J Carey, Aleksander Chaushev, Chris M Copperwheat, Laetitia Delrez, Catarina S Fernandes, Daniel L Holdsworth, Enrico J Kotze, Valérie Van Grootel, Yaseen Almleaky, Zouhair Benkhaldoun, Pierre Magain, Didier Queloz",456-460
Zouhair Benkhaldoun,1,6,341,2017/5/22,Nature Astronomy,"Rodrigo Luger, Marko Sestovic, Ethan Kruse, Simon L Grimm, Brice-Olivier Demory, Eric Agol, Emeline Bolmont, Daniel Fabrycky, Catarina S Fernandes, Valérie Van Grootel, Adam Burgasser, Michaël Gillon, James G Ingalls, Emmanuël Jehin, Sean N Raymond, Franck Selsis, Amaury HMJ Triaud, Thomas Barclay, Geert Barentsen, Steve B Howell, Laetitia Delrez, Julien De Wit, Daniel Foreman-Mackey, Daniel L Holdsworth, Jérémy Leconte, Susan Lederer, Martin Turbet, Yaseen Almleaky, Zouhair Benkhaldoun, Pierre Magain, Brett M Morris, Kevin Heng, Didier Queloz",0129
Zouhair Benkhaldoun,2,1,210,2021/1/22,The planetary science journal,"Eric Agol, Caroline Dorn, Simon L Grimm, Martin Turbet, Elsa Ducrot, Laetitia Delrez, Michaël Gillon, Brice-Olivier Demory, Artem Burdanov, Khalid Barkaoui, Zouhair Benkhaldoun, Emeline Bolmont, Adam Burgasser, Sean Carey, Julien de Wit, Daniel Fabrycky, Daniel Foreman-Mackey, Jonas Haldemann, David M Hernandez, James Ingalls, Emmanuel Jehin, Zachary Langford, Jérémy Leconte, Susan M Lederer, Rodrigo Luger, Renu Malhotra, Victoria S Meadows, Brett M Morris, Francisco J Pozuelos, Didier Queloz, Sean N Raymond, Franck Selsis, Marko Sestovic, Amaury HMJ Triaud, Valerie Van Grootel",1
Zouhair Benkhaldoun,10700,,119,2018/7/6,,"Laetitia Delrez, Michaël Gillon, Didier Queloz, Brice-Olivier Demory, Yaseen Almleaky, Julien de Wit, Emmanuël Jehin, Amaury HMJ Triaud, Khalid Barkaoui, Artem Burdanov, Adam J Burgasser, Elsa Ducrot, James McCormac, Catriona Murray, Catarina Silva Fernandes, Sandrine Sohy, Samantha J Thompson, Valérie Van Grootel, Roi Alonso, Zouhair Benkhaldoun, Rafael Rebolo",446-466
Zouhair Benkhaldoun,158,4,108,2019/9/11,The Astronomical Journal,"G Zhou, CX Huang, GÁ Bakos, JD Hartman, David W Latham, SN Quinn, KA Collins, JN Winn, I Wong, G Kovács, Z Csubry, W Bhatti, K Penev, A Bieryla, GA Esquerdo, P Berlind, ML Calkins, M de Val-Borro, RW Noyes, J Lázár, I Papp, P Sári, T Kovács, Lars A Buchhave, T Szklenar, B Béky, MC Johnson, WD Cochran, AY Kniazev, KG Stassun, BJ Fulton, Avi Shporer, N Espinoza, D Bayliss, M Everett, SB Howell, C Hellier, DR Anderson, A Collier Cameron, RG West, DJA Brown, N Schanche, K Barkaoui, F Pozuelos, Michaël Gillon, Emmanuel Jehin, Z Benkhaldoun, A Daassou, G Ricker, R Vanderspek, Sara Seager, JM Jenkins, Jack J Lissauer, JD Armstrong, KI Collins, T Gan, R Hart, K Horne, JF Kielkopf, LD Nielsen, T Nishiumi, N Narita, E Palle, HM Relles, R Sefako, TG Tan, M Davies, Robert F Goeke, Natalia Guerrero, K Haworth, Steven Villanueva",141
Zouhair Benkhaldoun,853,1,103,2018/1/19,The Astrophysical Journal,"Valérie Van Grootel, Catarina S Fernandes, Michael Gillon, Emmanuel Jehin, Jean Manfroid, Richard Scuflaire, Adam J Burgasser, Khalid Barkaoui, Zouhair Benkhaldoun, Artem Burdanov, Laetitia Delrez, Brice-Olivier Demory, Julien De Wit, Didier Queloz, Amaury HMJ Triaud",30
Zouhair Benkhaldoun,644,,82,2020,Astronomy & Astrophysics,"F. Colas, B. Zanda, S. Bouley, S. Jeanne, A. Malgoyre, M. Birlan, C. Blanpain, J. Gattacceca, L. Jorda, J. Lecubin, C. Marmo, J. L. Rault, J. Vaubaillon, P. Vernazza, C. Yohia, D. Gardiol, A. Nedelcu, B. Poppe, J. Rowe, D. Forcier, M. Koschny, J. M. Trigo-Rodriguez, H. Lamy, R. Behrend, L. Ferrière, D. Barghini, A. Buzzoni, A. Carbognani, M. Di Carlo, M. Di Martino, C. Knapic, E. Londero, G. Pratesi, S. Rasetti, W. Riva, G. M. Stirpe, G. B. Valsecchi, C. A. Volpicelli, S. Zorba, D. Coward, E. Drolshagen, G. Drolshagen, O. Hernandez, E. Jehin, M. Jobin, A. King, C. Nitschelm, T. Ott, A. Sanchez-Lavega, A. Toni, P. Abraham, F. Affaticati, M. Albani, A. Andreis, T. Andrieu, S. Anghel, E. Antaluca, K. Antier, T. Appéré, A. Armand, G. Ascione, Y. Audureau, G. Auxepaules, T. Avoscan, D. Baba Aissa, P. Bacci, O. Bǎdescu, R. Baldini, R. Baldo, A. Balestrero, D. Baratoux, E. Barbotin, M. Bardy, S. Basso, O. Bautista, Bayl",23
Zouhair Benkhaldoun,642,,72,2020/10/1,Astronomy & Astrophysics,"B-O Demory, FJ Pozuelos, Y Gómez Maqueo Chew, L Sabin, R Petrucci, U Schroffenegger, Simon Lukas Grimm, Marko Sestovic, Michaël Gillon, J McCormac, Khalid Barkaoui, Willy Benz, A Bieryla, F Bouchy, A Burdanov, KA Collins, J De Wit, CD Dressing, LJ Garcia, S Giacalone, P Guerra, J Haldemann, Kevin Heng, Emmanuel Jehin, E Jofré, SR Kane, J Lillo-Box, V Maigné, Christoph Mordasini, BM Morris, P Niraula, Didier Queloz, BV Rackham, AB Savel, A Soubkiou, G Srdoc, KG Stassun, AHMJ Triaud, R Zambelli, G Ricker, DW Latham, S Seager, JN Winn, JM Jenkins, T Calvario-Velásquez, JA Franco Herrera, E Colorado, EO Cadena Zepeda, L Figueroa, AM Watson, EE Lugo-Ibarra, L Carigi, G Guisa, J Herrera, G Sierra Diaz, JC Suárez, D Barrado, NM Batalha, Z Benkhaldoun, A Chontos, F Dai, Z Essack, M Ghachoui, CX Huang, D Huber, H Isaacson, JJ Lissauer, M Morales-Calderón, P Robertson, A Roy, JD Twicken, A Vanderburg, LM Weiss",A49
Zouhair Benkhaldoun,642,,72,2020/10/1,Astronomy & Astrophysics,"G Nowak, R Luque, H Parviainen, E Pallé, K Molaverdikhani, VJS Béjar, J Lillo-Box, C Rodríguez-López, JA Caballero, M Zechmeister, VM Passegger, C Cifuentes, A Schweitzer, N Narita, B Cale, N Espinoza, F Murgas, D Hidalgo, MR Zapatero Osorio, FJ Pozuelos, FJ Aceituno, PJ Amado, Khalid Barkaoui, D Barrado, FF Bauer, Z Benkhaldoun, DA Caldwell, N Casasayas Barris, P Chaturvedi, G Chen, KA Collins, KI Collins, M Cortés-Contreras, IJM Crossfield, JP De León, E Díez Alonso, S Dreizler, M El Mufti, E Esparza-Borges, Z Essack, A Fukui, E Gaidos, Michaël Gillon, EJ Gonzales, P Guerra, A Hatzes, Th Henning, E Herrero, K Hesse, T Hirano, SB Howell, SV Jeffers, Emmanuel Jehin, JM Jenkins, A Kaminski, J Kemmer, JF Kielkopf, D Kossakowski, T Kotani, M Kürster, M Lafarga, DW Latham, N Law, JJ Lissauer, N Lodieu, A Madrigal-Aguado, AW Mann, B Massey, RA Matson, E Matthews, P Montañés-Rodríguez, D Montes, JC Morales, M Mori, E Nagel, M Oshagh, S Pedraz, P Plavchan, D Pollacco, A Quirrenbach, S Reffert, A Reiners, I Ribas, GR Ricker, ME Rose, M Schlecker, JE Schlieder, S Seager, M Stangret, S Stock, M Tamura, A Tanner, J Teske, T Trifonov, JD Twicken, R Vanderspek, D Watanabe, J Wittrock, C Ziegler, F Zohrabi",A173
Zouhair Benkhaldoun,159,4,69,2020/3/10,The Astronomical Journal,"Kishore C Patra, Joshua N Winn, Matthew J Holman, Michael Gillon, Artem Burdanov, Emmanuel Jehin, Laetitia Delrez, Francisco J Pozuelos, Khalid Barkaoui, Zouhair Benkhaldoun, Norio Narita, Akihiko Fukui, Nobuhiko Kusakabe, Kiyoe Kawauchi, Yuka Terada, LG Bouma, Nevin N Weinberg, Madelyn Broome",150
Zouhair Benkhaldoun,123,909,68,2011/11/1,,"Jean Vernin, Casiana Muñoz-Tuñón, Marc Sarazin, Héctor Vazquez Ramió, Antonia M Varela, Hervé Trinquet, José Miguel Delgado, Jesús Jiménez Fuensalida, Marcos Reyes, Abdelmajid Benhida, Zouhair Benkhaldoun, Diego García Lambas, Youssef Hach, M Lazrek, Gianluca Lombardi, Julio Navarrete, Pablo Recabarren, Victor Renzi, Mohammed Sabil, Rubén Vrech",1334
Zouhair Benkhaldoun,218,1,65,2012/3/1,Icarus,"Sylvain Bouley, David Baratoux, Jeremie Vaubaillon, A Mocquet, Mathieu Le Feuvre, Francois Colas, Zouhair Benkhaldoun, Ahmed Daassou, Mohammed Sabil, Philippe Lognonné",115-124
Zouhair Benkhaldoun,631,,62,2019/11/1,Astronomy & Astrophysics,"Cyrielle Opitom, Alan Fitzsimmons, Emmanuel Jehin, Youssef Moulane, Olivier Hainaut, Karen J Meech, Bin Yang, Colin Snodgrass, Marco Micheli, Jacqueline V Keane, Zouhair Benkhaldoun, Jan T Kleyna",L8
Zouhair Benkhaldoun,416,3,62,2004/3/1,Astronomy & Astrophysics,"A Abahamid, A Jabiri, J Vernin, Z Benkhaldoun, M Azouit, A Agabi",1193-1200
Zouhair Benkhaldoun,120,8,54,2015/8,Journal of Geophysical Research: Space Physics,"Daniel J Fisher, Jonathan J Makela, John W Meriwether, Ricardo A Buriti, Zouhair Benkhaldoun, Mohamed Kaab, Amine Lagheryeb",6679-6693
Zouhair Benkhaldoun,152,,54,1994/7,Solar Physics,"Frank Hill, George Fischer, Suzanne Forgach, Jennifer Grier, John W Leibacher, Harrison P Jones, Patricia B Jones, Renate Kupke, Robin T Stebbins, Donald W Clay, Robert EL Ingram, Kenneth G Libbrecht, Harold Zirin, Roger K Ulrichi, Lawrence Websteri, Lester S Hieda, Barry J Labonte, Wayne MT Lu, Edwin M Sousa, Charles J Garcia, Eric A Yasukawa, John A Kennewell, David G Cole, Huang Zhen, Xiao Su-Min, Arvind Bhatnagar, Aashok Ambastha, Abdulrahman Sa'Ad Al-Khashlan, Muhammad-Saleh Abdul-Samad, Zouhair Benkhaldoun, Samir Kadiri, Francisco Sánchez, Pere L Pallé, Oscar Duhalde, Hernan Solis, Oscar Saá, Ricardo González",351-379
Zouhair Benkhaldoun,654,,52,2021/10/1,Astronomy & Astrophysics,"Pierre Vernazza, Marin Ferrais, Laurent Jorda, Josef Hanuš, Benoît Carry, Michaël Marsset, Miroslav Brož, Romain Fétick, Matti Viikinkoski, Franck Marchis, Frédéric Vachier, Alexis Drouard, Thierry Fusco, Mirel Birlan, Edyta Podlewska-Gaca, Nicolas Rambaux, Maëlle Neveu, Przemyslaw Bartczak, Grzegorz Dudziński, Emmanuel Jehin, Pierre Beck, Jérôme Berthier, Julie Castillo-Rogez, Fabrice Cipriani, François Colas, Christophe Dumas, Josef Ďurech, Jonny Grice, Mikko Kaasalainen, Agnieszka Kryszczynska, Philippe Lamy, Hervé Le Coroller, Anna Marciniak, Tadeusz Michalowski, Patrick Michel, Toni Santana-Ros, Paolo Tanga, Arthur Vigan, Olivier Witasse, Bin Yang, Pierre Antonini, Maurice Audejean, P Aurard, Raoul Behrend, Zouhair Benkhaldoun, Josep M Bosch, Andrés Chapman, L Dalmon, S Fauvaud, Hiroko Hamanowa, Hiromi Hamanowa, J His, A Jones, D-H Kim, M-J Kim, J Krajewski, O Labrevoir, A Leroy, Florian Livet, David Molina, Romain Montaigut, Julian Oey, N Payre, Vishnu Reddy, P Sabin, AG Sanchez, L Socha",A56
Zouhair Benkhaldoun,161,2,49,2021/1/14,The Astronomical Journal,"Elisabeth R Newton, Andrew W Mann, Adam L Kraus, John H Livingston, Andrew Vanderburg, Jason L Curtis, Pa Chia Thao, Keith Hawkins, Mackenna L Wood, Aaron C Rizzuto, Abderahmane Soubkiou, Benjamin M Tofflemire, George Zhou, Ian JM Crossfield, Logan A Pearce, Karen A Collins, Dennis M Conti, Thiam-Guan Tan, Steven Villeneuva, Alton Spencer, Diana Dragomir, Samuel N Quinn, Eric LN Jensen, Kevin I Collins, Chris Stockdale, Ryan Cloutier, Coel Hellier, Zouhair Benkhaldoun, Carl Ziegler, César Briceño, Nicholas Law, Björn Benneke, Jessie L Christiansen, Varoujan Gorjian, Stephen R Kane, Laura Kreidberg, Farisa Y Morales, Michael W Werner, Joseph D Twicken, Alan M Levine, David R Ciardi, Natalia M Guerrero, Katharine Hesse, Elisa V Quintana, Bernie Shiao, Jeffrey C Smith, Guillermo Torres, George R Ricker, Roland Vanderspek, Sara Seager, Joshua N Winn, Jon M Jenkins, David W Latham",65
